iter	RMSE
0	3759.111339
1	3536.983769
2	3332.146472
3	3136.499359
4	2960.473344
5	2793.898888
6	2641.972972
7	2497.510185
8	2361.889791
9	2233.906377
10	2115.310233
11	2007.560625
12	1905.335019
13	1808.322832
14	1720.696418
15	1640.7226
16	1567.901503
17	1499.118059
18	1436.475976
19	1375.117904
20	1320.311018
21	1269.154457
22	1220.821465
23	1178.031398
24	1136.24425
25	1098.532048
26	1065.251863
27	1031.981722
28	1001.055869
29	973.5457245
30	946.6410233
31	923.313945
32	901.0900492
33	879.7921714
34	860.3116196
35	842.8075646
36	826.6403151
37	812.0680491
38	798.3628576
39	785.7395405
40	774.1596224
41	762.9181741
42	751.1773532
43	741.0647052
44	731.4373624
45	722.2512539
46	714.6797924
47	707.0812188
48	700.5505934
49	693.4277668
50	687.2812165
51	681.5372786
52	676.427171
53	670.8409932
54	665.7650828
55	660.4955189
56	655.5900685
57	651.0879716
58	646.795995
59	643.236247
60	639.839379
61	636.6296248
62	633.4005358
63	630.4358741
64	627.5738525
65	623.9504759
66	620.8926686
67	618.4806523
68	615.6705842
69	613.3269658
70	611.4021605
71	609.8287639
72	607.8834994
73	606.1174259
74	603.6730379
75	602.0256948
76	599.5144478
77	597.4723673
78	595.4014563
79	594.2255067
80	592.7969262
81	591.0648524
82	589.0451852
83	586.4120444
84	584.6923136
85	583.3435252
86	581.4617651
87	579.9418955
88	578.9363782
89	577.9821643
90	576.677988
91	575.5294599
92	574.6841476
93	573.877384
94	572.2120201
95	571.0066339
96	569.8056759
97	568.5732144
98	567.5137349
99	566.3406764
100	565.4761976
101	564.0790899
102	562.8801211
103	561.3278049
104	560.6729127
105	560.0673156
106	559.384528
107	557.9135034
108	556.7857717
109	555.6365546
110	554.9214274
111	554.3547241
112	553.3358212
113	552.4232531
114	551.259511
115	550.1367407
116	549.4524102
117	548.5975335
118	547.836983
119	547.1667162
120	546.465663
121	545.8794458
122	544.9700503
123	544.5989915
124	544.1944608
125	543.488207
126	542.8979361
127	542.2050116
128	541.9511161
129	541.3750555
130	540.7395156
131	540.0994166
132	539.241929
133	538.6430451
134	538.4215672
135	537.7981872
136	537.3484933
137	537.0416713
138	536.6600491
139	535.3853424
140	534.5435186
141	534.2526828
142	533.8516073
143	533.3474975
144	532.9671623
145	532.3281807
146	531.9931338
147	531.6241381
