iter	Passed	Remaining
0	5	5019
1	10	5050
2	15	4991
3	20	5028
4	26	5174
5	30	5110
6	36	5169
7	41	5116
8	46	5073
9	52	5165
10	57	5127
11	62	5177
12	68	5168
13	72	5128
14	79	5210
15	84	5191
16	90	5216
17	94	5181
18	101	5222
19	106	5199
20	110	5166
21	116	5190
22	121	5163
23	127	5176
24	132	5156
25	137	5132
26	143	5158
27	148	5151
28	154	5177
29	159	5155
30	164	5135
31	169	5133
32	174	5112
33	180	5127
34	185	5118
35	190	5111
36	196	5109
37	201	5100
38	207	5106
39	212	5096
40	218	5104
41	223	5086
42	227	5072
43	233	5075
44	238	5056
45	243	5056
46	248	5044
47	253	5029
48	259	5034
49	264	5019
50	269	5015
51	274	5010
52	279	4996
53	285	5004
54	290	4992
55	297	5016
56	302	5004
57	308	5002
58	312	4991
59	317	4976
60	323	4980
61	328	4968
62	333	4964
63	338	4951
64	343	4936
65	349	4945
66	353	4928
67	359	4925
68	364	4913
69	368	4898
70	374	4899
71	379	4886
72	384	4876
73	389	4869
74	393	4856
75	399	4854
76	404	4849
77	409	4838
78	414	4834
79	419	4824
80	425	4825
81	429	4813
82	434	4804
83	440	4801
84	445	4792
85	451	4794
86	456	4792
87	461	4785
88	466	4777
89	471	4766
90	476	4763
91	481	4753
92	486	4745
93	491	4740
94	496	4729
95	502	4731
96	507	4723
97	512	4716
98	517	4711
99	522	4701
100	527	4698
101	533	4698
102	539	4694
103	544	4690
104	549	4680
105	554	4679
106	559	4669
107	564	4664
108	569	4658
109	574	4647
110	579	4641
111	584	4631
112	589	4625
113	595	4625
114	600	4618
115	606	4621
116	614	4641
117	620	4641
118	626	4636
119	632	4635
120	637	4631
121	644	4635
122	649	4628
123	655	4629
124	660	4624
125	666	4622
126	670	4612
127	676	4608
128	682	4605
129	689	4614
130	695	4616
131	702	4621
132	708	4616
133	713	4613
134	719	4612
135	725	4610
136	731	4604
137	736	4601
138	742	4598
139	748	4599
140	754	4595
141	760	4597
142	766	4592
143	772	4593
144	778	4587
145	785	4591
146	790	4587
147	796	4586
148	801	4580
149	807	4575
150	814	4577
151	819	4571
152	826	4573
153	831	4566
154	837	4565
155	842	4558
156	847	4553
157	853	4548
158	858	4541
159	865	4543
160	871	4539
161	877	4538
162	882	4533
163	889	4532
164	894	4525
165	899	4520
166	904	4512
167	909	4505
168	917	4510
169	922	4503
170	929	4503
171	934	4499
172	941	4501
173	946	4493
174	951	4486
175	957	4483
176	963	4478
177	968	4474
178	974	4467
179	980	4465
180	985	4458
181	990	4453
182	995	4444
183	1000	4435
184	1005	4430
185	1010	4421
186	1015	4413
187	1020	4406
188	1024	4396
189	1030	4392
190	1035	4384
191	1039	4375
192	1045	4372
193	1050	4363
194	1055	4359
195	1061	4353
196	1066	4349
197	1072	4345
198	1077	4337
199	1082	4331
200	1087	4321
201	1092	4316
202	1097	4307
203	1102	4300
204	1107	4296
205	1112	4286
206	1116	4277
207	1123	4276
208	1127	4268
209	1133	4262
210	1138	4258
211	1143	4250
212	1148	4244
213	1153	4236
214	1159	4231
215	1163	4224
216	1170	4223
217	1175	4218
218	1181	4212
219	1187	4208
220	1191	4201
221	1199	4202
222	1205	4200
223	1213	4205
224	1218	4198
225	1225	4198
226	1231	4193
227	1237	4189
228	1242	4184
229	1249	4182
230	1254	4175
231	1259	4169
232	1265	4165
233	1269	4157
234	1275	4153
235	1280	4146
236	1287	4143
237	1293	4141
238	1299	4137
239	1306	4136
240	1312	4133
241	1319	4131
242	1324	4126
243	1330	4121
244	1336	4117
245	1341	4112
246	1346	4106
247	1353	4102
248	1358	4097
249	1364	4092
250	1369	4085
251	1374	4079
252	1380	4074
253	1385	4068
254	1391	4064
255	1396	4059
256	1402	4054
257	1408	4050
258	1413	4044
259	1419	4039
260	1424	4033
261	1430	4028
262	1435	4021
263	1441	4017
264	1446	4011
265	1451	4005
266	1457	4000
267	1461	3992
268	1466	3986
269	1472	3979
270	1476	3972
271	1481	3965
272	1486	3957
273	1491	3950
274	1496	3945
275	1501	3937
276	1506	3933
277	1512	3926
278	1516	3919
279	1522	3914
280	1527	3907
281	1533	3905
282	1538	3898
283	1544	3893
284	1550	3889
285	1555	3882
286	1562	3881
287	1568	3876
288	1576	3878
289	1583	3876
290	1588	3870
291	1593	3864
292	1599	3859
293	1604	3852
294	1610	3848
295	1616	3844
296	1622	3840
297	1627	3835
298	1632	3828
299	1639	3826
300	1644	3819
301	1650	3815
302	1656	3809
303	1662	3805
304	1667	3800
305	1672	3794
306	1678	3789
307	1686	3788
308	1692	3784
309	1697	3778
310	1704	3776
311	1709	3769
312	1715	3765
313	1721	3760
314	1727	3757
315	1733	3751
316	1739	3747
317	1744	3741
318	1749	3734
319	1755	3729
320	1760	3724
321	1766	3719
322	1771	3713
