obj1_feat_0_binary,obj1_feat_1_nominal,obj1_feat_2_ordinal,obj1_feat_3_quantitative,obj1_feat_4_binary,obj1_feat_5_nominal,obj2_feat_0_binary,obj2_feat_1_nominal,obj2_feat_2_ordinal,obj2_feat_3_quantitative,obj2_feat_4_binary,obj2_feat_5_nominal,collision
1,3,2,-0.7077648253537482,0,3,1,2,1,0.9229063374015226,0,1,True
0,3,2,-0.9624478870515112,1,2,1,2,2,-0.3418911167026919,1,1,True
1,1,2,0.44433315416542346,1,3,1,4,3,1.4657805343984887,0,3,True
0,4,0,-2.551812600986214,1,1,0,2,1,0.21506317859024282,1,3,True
0,1,0,0.22605583014573952,0,1,1,3,2,0.14725512768447363,1,1,True
1,1,1,-0.4499965365506326,1,2,0,3,1,-0.4977887406183209,0,3,True
1,3,0,-0.8079914950243443,1,3,1,4,1,-0.8248283106506376,0,3,True
0,1,0,-0.7294445836030933,0,1,1,2,4,-0.5541311134885217,1,2,False
1,4,1,-0.24696878737979266,1,4,1,1,3,1.0025376370865298,0,1,True
1,3,2,1.975876106278481,1,3,0,3,4,-0.7786805905301442,0,3,False
1,2,1,0.08476387749213968,1,2,1,3,3,2.1399769359270517,1,2,True
0,2,4,0.08394416783413014,1,4,0,4,2,0.8694451979125972,1,3,True
1,3,3,0.9753135402165022,1,3,1,4,1,-0.33802937561627866,0,3,True
0,4,0,0.2180168588465372,1,3,1,2,4,-0.555887522545491,1,1,True
0,4,3,0.29876337400848363,0,1,1,4,0,0.48028029984134524,1,4,True
0,1,1,-0.871352367972618,0,3,0,4,2,2.42213880841203,1,3,True
0,4,4,-0.963087675497203,1,4,0,2,4,0.8580467132693078,0,4,True
0,1,1,-0.09056782576204701,0,3,1,4,2,1.2751678311746577,0,1,True
0,3,0,-0.5278480007375762,0,3,0,2,2,-0.24348538267638362,1,3,True
1,2,3,-0.19751926447873752,1,4,0,4,0,-0.7343505271240417,1,3,True
1,4,3,-1.1149284751004904,0,1,1,1,3,-1.1516501101357968,0,3,True
0,2,2,1.3569263171436308,0,4,1,3,3,-0.4941744122396691,1,1,False
0,2,1,0.26166407072241704,1,3,1,1,3,-0.8181320907907558,1,4,True
0,3,4,-0.8281448902645923,1,1,1,3,2,-2.0054264075666723,0,1,True
1,1,0,-0.3469760732179587,0,3,1,3,3,0.5938148041327459,1,3,True
1,3,3,0.3804880356483821,0,2,1,1,1,-0.21585550839839243,0,3,True
1,1,0,0.03504499816677899,1,4,0,2,1,-0.3282813530039987,0,4,True
1,3,0,-0.6326880666674737,0,4,1,2,2,0.23070667946689294,0,3,True
1,3,0,-1.2189418995496413,1,4,0,4,1,-1.2124642312979281,1,1,True
1,1,1,0.36452883411423254,1,1,0,1,1,-0.0304807907328381,1,1,True
0,1,2,0.6325199624383464,1,3,0,3,0,-2.0696867597921753,0,4,False
1,2,1,0.5631553760882245,0,3,0,1,2,-1.6674898051593485,1,2,False
0,3,0,1.2954763518840173,0,1,0,1,4,0.17095251548406934,0,4,False
0,2,0,-0.9393739299125102,0,3,1,3,0,1.097088911121148,1,2,False
1,3,4,0.8209538029836602,1,4,0,3,3,-0.2492482909122044,0,2,True
0,3,0,-0.8050807828342113,1,2,0,3,1,-0.909145880159429,1,2,True
1,2,3,0.1260739100692352,1,1,0,2,1,-1.8698286865976088,0,2,False
0,4,4,-0.3812060915571185,1,2,1,4,3,-0.7307530101390893,1,4,True
0,3,1,-1.8304801056625666,1,2,1,2,1,-0.8383338266572801,1,2,True
0,2,3,0.4599570561812954,1,4,0,3,2,0.0627258019239405,1,2,True
0,3,1,0.7621650351045155,1,2,1,1,0,1.1548658929820461,0,1,True
1,2,4,-1.4445555008928967,1,1,1,4,3,-0.08446287329087131,1,2,True
1,4,0,0.8437079187031554,0,1,0,1,0,0.16803881119697686,1,3,True
0,1,4,1.8173507245044263,1,2,0,2,2,0.7691695312678697,0,1,False
1,2,2,-1.1712856793793998,1,1,0,2,3,-1.0427340373183465,1,1,True
0,4,0,0.10550682501570416,1,4,1,4,4,-0.25877218301971916,1,2,True
1,2,2,0.6533762852036288,0,2,0,4,1,0.7888889232249552,1,2,True
1,1,3,0.5736416552768566,1,4,1,4,4,0.048347037137810245,0,4,True
0,2,2,2.441415227211364,1,1,0,3,3,-1.447412568928448,1,4,True
0,1,0,0.8372967026262483,1,4,0,2,3,0.19210483853385757,1,3,True
