obj1_feat_0_binary,obj1_feat_1_nominal,obj1_feat_2_ordinal,obj1_feat_3_quantitative,obj1_feat_4_binary,obj2_feat_0_binary,obj2_feat_1_nominal,obj2_feat_2_ordinal,obj2_feat_3_quantitative,collision
1,3,2,-0.7077648253537482,0,1,4,1,0.5890312731474475,True
0,3,2,-0.9624478870515112,1,0,4,2,-0.5732892045291094,True
1,1,2,0.44433315416542346,1,1,4,4,-0.7717640328694935,True
0,4,0,-2.551812600986214,1,0,1,2,0.5138858831593238,False
0,1,0,0.22605583014573952,0,0,3,2,1.0940573322271854,False
1,1,1,-0.4499965365506326,1,0,2,2,-0.9574143417075867,True
1,3,0,-0.8079914950243443,1,1,3,3,-0.7261863497013407,True
0,1,0,-0.7294445836030933,0,0,3,1,-1.3380776137260746,True
1,4,1,-0.24696878737979266,1,1,3,0,-1.4619672012700429,True
1,3,2,1.975876106278481,1,1,2,3,0.24821605769858612,True
1,2,1,0.08476387749213968,1,0,3,3,0.318260714054722,False
0,2,4,0.08394416783413014,1,1,1,4,-0.3547613894260858,True
1,3,3,0.9753135402165022,1,1,4,4,0.22154281862523403,True
0,4,0,0.2180168588465372,1,1,4,1,-1.762277259214535,True
0,4,3,0.29876337400848363,0,0,3,4,-0.24257861763821745,True
0,1,1,-0.871352367972618,0,1,1,3,-0.6419350325005474,True
0,4,4,-0.963087675497203,1,1,2,1,0.8582368814520239,False
0,1,1,-0.09056782576204701,0,1,4,3,-3.001385442320322,False
0,3,0,-0.5278480007375762,0,1,1,2,0.18298518817224899,False
1,2,3,-0.19751926447873752,1,1,1,4,0.8935558992818002,True
1,4,3,-1.1149284751004904,0,0,3,1,0.659275445163571,False
0,2,2,1.3569263171436308,0,1,3,3,0.7953603713234598,True
0,2,1,0.26166407072241704,1,1,3,0,-1.0325836869664058,True
0,3,4,-0.8281448902645923,1,0,4,3,-1.145781375485181,True
1,1,0,-0.3469760732179587,0,1,3,2,0.5952714815842544,True
1,3,3,0.3804880356483821,0,0,3,0,0.9229063374015226,True
1,1,0,0.03504499816677899,1,1,2,2,-0.3418911167026919,True
1,3,0,-0.6326880666674737,0,1,3,1,1.4657805343984887,True
1,3,0,-1.2189418995496413,1,1,2,4,0.21506317859024282,True
1,1,1,0.36452883411423254,1,0,1,0,0.14725512768447363,True
0,1,2,0.6325199624383464,1,1,1,2,-0.4977887406183209,True
1,2,1,0.5631553760882245,0,1,2,1,-0.8248283106506376,True
0,3,0,1.2954763518840173,0,0,2,0,-0.5541311134885217,False
0,2,0,-0.9393739299125102,0,1,3,3,1.0025376370865298,False
1,3,4,0.8209538029836602,1,1,1,2,-0.7786805905301442,False
0,3,0,-0.8050807828342113,1,0,1,2,2.1399769359270517,False
1,2,3,0.1260739100692352,1,0,2,1,0.8694451979125972,True
0,4,4,-0.3812060915571185,1,0,4,4,-0.33802937561627866,True
0,3,1,-1.8304801056625666,1,0,3,2,-0.555887522545491,True
0,2,3,0.4599570561812954,1,1,2,2,0.48028029984134524,True
0,3,1,0.7621650351045155,1,0,4,0,2.42213880841203,False
1,2,4,-1.4445555008928967,1,0,3,4,0.8580467132693078,False
1,4,0,0.8437079187031554,0,0,1,0,1.2751678311746577,True
0,1,4,1.8173507245044263,1,0,2,2,-0.24348538267638362,False
1,2,2,-1.1712856793793998,1,0,2,1,-0.7343505271240417,True
0,4,0,0.10550682501570416,1,1,4,4,-1.1516501101357968,True
1,2,2,0.6533762852036288,0,0,1,4,-0.4941744122396691,False
1,1,3,0.5736416552768566,1,1,3,4,-0.8181320907907558,True
0,2,2,2.441415227211364,1,0,1,3,-2.0054264075666723,False
0,1,0,0.8372967026262483,1,1,2,1,0.5938148041327459,True
