,carat,cut,color,clarity,depth,table,price,x,y,z
0,-1.1993414289012723,4,5,1,-0.17625485,-1.0968236658150665,326,-1.5878375,-1.5733732,-1.5936304
1,-1.241582027780915,3,5,2,-1.3813345,1.5916349571799158,326,-1.6413252,-1.6990021,-1.7661788
2,-1.1993414289012723,1,5,4,-3.4370563,3.383940705843237,327,-1.498691,-1.4926116,-1.7661788
3,-1.0726197266773887,3,1,3,0.46172932,0.24740564568242457,334,-1.3649718,-1.3490359,-1.3060501
4,-1.0303791277977459,1,0,1,1.0997108,0.24740564568242457,335,-1.2401664,-1.2413541,-1.133502
5,-1.1782211609331326,2,0,5,0.74527574,-0.2006707914834058,336,-1.5967522,-1.5913202,-1.5217354
6,-1.1782211609331326,2,1,6,0.39084068,-0.2006707914834058,336,-1.5878375,-1.5733732,-1.5361145
7,-1.1359805935251712,2,2,2,0.10729427,-1.0968236658150665,337,-1.4808617,-1.4567177,-1.4498404
8,-1.2204617283410937,0,5,3,2.3756764,1.5916349571799158,337,-1.6591548,-1.7528431,-1.5073564
9,-1.1993414289012723,2,2,4,-1.664881,1.5916349571799158,338,-1.5432643,-1.5105586,-1.6511464
10,-1.0514993957658856,1,0,2,1.5959204,-1.0968236658150665,339,-1.3203983,-1.3041682,-1.16226
11,-1.1993414289012723,4,0,4,0.74527574,-0.6487472286492362,340,-1.6056668,-1.645161,-1.5504935
12,-1.2204617283410937,3,4,2,-0.9560109,1.5916349571799158,342,-1.65024,-1.6990021,-1.7374208
13,-1.0303791277977459,4,0,1,0.31995475,-1.5449001029808969,344,-1.2312521,-1.2234071,-1.191018
14,-1.2627022957490548,3,5,1,-1.0977855,2.039711394345746,345,-1.7304717,-1.7797636,-1.8236948
15,-1.0092588598296062,3,5,0,-0.60157585,0.24740564568242457,345,-1.204508,-1.1785395,-1.234155
16,-1.0514993957658856,4,1,1,0.1781802,-1.5449001029808969,348,-1.2669106,-1.2503273,-1.234155
17,-1.0514993957658856,1,0,2,1.1705995,-1.5449001029808969,351,-1.3382276,-1.295195,-1.205397
18,-1.0514993957658856,1,0,2,1.4541459,-0.6487472286492362,351,-1.3382276,-1.3221152,-1.191018
19,-1.0514993957658856,2,0,2,0.67438984,0.695482082848255,351,-1.3560568,-1.313142,-1.262913
20,-1.0514993957658856,1,1,1,1.0997108,-0.6487472286492362,351,-1.3114835,-1.2862213,-1.191018
21,-1.1993414289012723,2,5,3,1.4541459,-1.0968236658150665,352,-1.676984,-1.6272141,-1.5217354
22,-1.1993414289012723,2,2,4,-0.5306899,-0.2006707914834058,353,-1.5967522,-1.5913202,-1.6223885
23,-1.0303791277977459,2,0,2,-1.664881,2.039711394345746,353,-1.1955935,-1.1695662,-1.3204293
24,-1.0303791277977459,2,0,2,-2.5864143,2.039711394345746,353,-1.1510202,-1.1336722,-1.3635664
25,-1.1993414289012723,2,3,5,-0.9560109,0.24740564568242457,354,-1.5700082,-1.5464525,-1.6223885
26,-1.1782211609331326,3,1,4,0.53261524,-0.2006707914834058,355,-1.5700082,-1.6092671,-1.5361145
27,-1.0514993957658856,2,0,3,0.31995475,-0.2006707914834058,357,-1.2936542,-1.2862213,-1.2485341
28,-1.1993414289012723,2,6,3,-0.885125,1.5916349571799158,357,-1.5789229,-1.5823467,-1.6367674
29,-1.1993414289012723,2,4,4,-0.60157585,-0.2006707914834058,357,-1.5789229,-1.5643997,-1.6080095
30,-1.1993414289012723,2,4,4,-1.23956,-0.2006707914834058,402,-1.5432643,-1.5285056,-1.6223885
31,-1.1993414289012723,2,4,4,-1.3813345,-0.2006707914834058,402,-1.5076058,-1.5015854,-1.6080095
32,-1.1993414289012723,2,5,4,-0.7433504,0.695482082848255,402,-1.5700082,-1.5464525,-1.6080095
33,-1.1993414289012723,2,5,4,-1.5939951,0.24740564568242457,402,-1.5343494,-1.5015854,-1.6367674
34,-1.1993414289012723,2,6,4,0.10729427,0.24740564568242457,402,-1.6145813,-1.5913202,-1.5792514
35,-1.1993414289012723,1,4,4,-2.5155256,0.695482082848255,402,-1.4897765,-1.4836384,-1.6799048
36,-1.1993414289012723,1,5,4,1.6668063,0.695482082848255,402,-1.6948133,-1.6900287,-1.5504935
