,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
0,0.16059324,2.3224607,-2.290187,-0.75070864,1.2354271,-1.1324113450104907,-1.4680808078490912,1.0892453,1.802087,0.26068273,-0.94204444,5,1
1,0.47261935,3.4593668,-2.290187,-0.60194165,2.340299,-0.3223593299006503,-0.8762496903914344,0.7487838,-0.12687781,1.1563596,-0.6069229,5,1
2,0.47261935,2.7014294,-1.9988513,-0.66569895,2.0389705,-0.9009679121219648,-1.109395282117178,0.816868,0.24646991,0.93244016,-0.6069229,5,1
3,3.1248405,-0.3303199,1.7885128,-0.75070864,1.1852059,-0.7852461956777019,-1.001789624397604,1.1573497,-0.3757763,0.40996206,-0.6069229,6,1
4,0.16059324,2.3224607,-2.290187,-0.75070864,1.2354271,-1.1324113450104907,-1.4680808078490912,1.0892453,1.802087,0.26068273,-0.94204444,5,1
5,0.16059324,2.0698152,-2.290187,-0.77196115,1.1852059,-1.0166896285662277,-1.3604751501295171,1.0892453,1.802087,0.26068273,-0.94204444,5,1
6,0.5506258,1.6908464,-1.8531834,-0.814466,0.88387704,-0.9009679121219648,-1.0197239006841996,0.6125952,0.4953684,-0.4857146,-0.94204444,5,1
7,0.0825868,2.0066533,-2.290187,-0.8994757,0.6829912,-0.9009679121219648,-1.7012263995748347,-0.00024352015,1.0553914,-0.41107494,-0.4393626,7,1
8,0.47261935,1.5645233,-2.144519,-0.72945625,1.0847628,-1.2481330614547534,-1.7550292284346218,0.7487838,0.8687161,0.33532238,-0.85826385,7,1
10,-0.38545257,1.5645233,-1.7075156,-0.77196115,2.2900777,-0.9009679121219648,-0.9121182429646257,0.44235432,0.37091917,0.11140339,-1.1096047,5,1
12,-1.2435241,1.7855885,-2.290187,-0.814466,1.8883061,-0.8431070538998333,-1.0197239006841996,-0.102379926,2.2376592,-0.037876386,-0.5231432,5,1
16,1.0186648,-0.3303199,1.7885128,-0.77196115,2.0389705,0.25624925232066414,-0.2306157440739906,0.7828361,0.4953684,1.6788377,-0.020461353,7,1
18,0.16059324,1.6276847,-1.7075156,-0.2193978,1.7376418,-1.4217156361211478,-1.5577521892820694,0.95305663,0.99316686,-0.18715572,-1.277165,4,1
21,0.3166061,0.36445588,-0.032335293,-0.66569895,1.536756,-0.43808104634491324,-0.8045125852450518,1.225434,1.8643116,0.93244016,-0.6907035,5,1
22,0.5506258,0.6171018,-0.7606746,-0.814466,2.7420704,-1.190272203232622,-1.4142779789893043,0.6806794,-0.3135517,2.8730738,-0.85826385,5,1
24,-0.22943932,0.42761746,-1.270512,-0.6444465,1.6874202,-0.5538027627891762,-1.3604751501295171,0.7487838,1.3042899,0.7831608,-0.6907035,6,1
25,-0.6974783,0.36445588,-1.1248442,-0.85697085,1.4363129,-1.1324113450104907,-1.6653578470016435,0.306186,0.74426687,0.26068273,-1.0258242,5,1
26,0.3166061,0.49077883,-0.5421728,-0.77196115,1.4363129,-1.5374373525654108,-1.8805691624407914,0.544511,0.37091917,0.4846017,-0.85826385,5,1
27,0.5506258,0.6171018,-0.7606746,-0.814466,2.7420704,-1.190272203232622,-1.4142779789893043,0.6806794,-0.3135517,2.8730738,-0.85826385,5,1
28,-0.07342644,2.385622,-2.290187,-0.75070864,1.4363129,-0.9588287703440963,-1.4501465315624955,0.8849725,1.5531884,0.18604305,-0.94204444,5,1
29,0.47261935,1.9750727,-2.290187,-0.72945625,1.536756,-1.305993919676885,-1.790897781007813,0.6125952,0.99316686,0.4846017,-0.6069229,6,1
30,-0.38545257,2.1645572,-1.7803495,-0.6444465,1.8883061,-0.7852461956777019,-0.6072355460924995,0.4083224,0.8064915,0.11140339,-0.35558203,5,1
31,-0.22943932,2.2277186,-2.290187,-0.6231941,2.691849,-0.4959419045670447,-1.4142779789893043,0.6806794,1.4909638,0.33532238,0.06331921,6,1
32,0.8626519,2.038234,-1.4161798,-0.66569895,1.5869772,-0.9009679121219648,-0.05127298120803401,0.6806794,-0.3135517,1.0070803,-0.6069229,5,1
34,-1.5555502,-0.07767417,-0.46933886,-0.77196115,2.5914063,-1.0166896285662277,-1.1811323872635606,0.37427017,0.99316686,0.18604305,-1.1096047,5,1
36,0.47261935,1.6908464,-1.270512,-0.6444465,1.7376418,-1.5952982107875422,-1.8088320572944088,0.9871089,1.2420653,0.55924183,0.23087956,6,1
37,0.70663905,0.3012945,-0.25083706,-0.70820385,0.73321277,-1.0166896285662277,-1.5398179129954739,0.7487838,0.059796046,1.5295584,-0.6907035,7,1
43,0.70663905,2.0698152,-0.68784064,-0.6869514,0.88387704,-1.2481330614547534,-1.6653578470016435,0.7487838,0.4953684,5.0376263,-0.18802169,5,1
44,-0.30744576,2.1329765,-2.144519,-0.77196115,-0.0703303,-1.4795764943432792,-1.8805691624407914,0.544511,1.6154131,-0.037876386,-0.85826385,5,1
45,-2.0235891,1.1855546,-1.1976781,-0.70820385,0.13055551,-1.305993919676885,-0.9121182429646257,-0.40880942,4.2288504,0.26068273,2.1578255,4,1
46,0.39461255,3.8067546,0.8416718,-0.6869514,3.1438422,-0.4959419045670447,-0.033338704921438346,0.816868,0.18424529,1.5295584,-1.1096047,5,1
47,1.1746776,-0.2671585,1.497177,-0.814466,3.0936205,-1.074550486788359,-1.4142779789893043,0.7828361,0.18424529,0.40996206,-0.85826385,5,1
48,-0.61947185,0.42761746,-0.6150067,-0.814466,0.73321277,-1.4795764943432792,-1.8626348861541957,0.4083224,0.74426687,0.26068273,-1.1096047,5,1
