iter	Passed	Remaining
0	3	370
1	7	355
2	10	347
3	13	325
4	16	322
5	22	355
6	26	349
7	32	370
8	36	366
9	39	358
10	43	351
11	47	349
12	51	346
13	55	340
14	59	339
15	63	332
16	66	323
17	69	315
18	72	310
19	76	304
20	79	298
21	82	293
22	86	288
23	89	283
24	92	277
25	95	272
26	99	268
27	102	263
28	106	259
29	109	255
30	112	251
31	116	247
32	119	243
33	127	248
34	131	244
35	136	242
36	140	238
37	143	234
38	147	229
39	150	226
40	154	223
41	158	218
42	162	214
43	165	210
44	169	206
45	172	202
46	175	198
47	179	194
48	182	190
49	186	186
50	189	182
51	193	178
52	196	174
53	200	170
54	204	167
55	207	162
56	211	159
57	214	155
58	218	151
59	221	147
60	225	144
61	229	140
62	233	136
63	236	133
64	240	129
65	243	125
66	246	121
67	249	117
68	253	113
69	256	109
70	259	105
71	263	102
72	266	98
73	270	95
74	274	91
75	277	87
76	280	83
77	283	80
78	287	76
79	291	72
80	295	69
81	298	65
82	301	61
83	305	58
84	307	54
85	310	50
86	314	47
87	318	43
88	321	39
89	325	36
90	329	32
91	332	28
92	337	25
93	340	21
94	344	18
95	347	14
96	349	10
97	353	7
98	356	3
99	358	0
