obj1_feat_0_binary,obj1_feat_1_nominal,obj1_feat_2_ordinal,obj1_feat_3_quantitative,obj1_feat_4_binary,obj1_feat_5_nominal,obj2_feat_0_binary,obj2_feat_1_nominal,obj2_feat_2_ordinal,obj2_feat_3_quantitative,obj2_feat_4_binary,obj2_feat_5_nominal,collision
1,3,4,-0.2299260787091735,0,2,0,2,2,-0.34300681741269506,0,2,True
0,4,1,1.274843515047201,1,2,1,3,4,0.819914828106263,0,2,True
1,3,4,-1.7957921885797352,0,3,0,4,4,-0.3754333152696097,0,3,True
0,2,3,-2.412333551569282,1,2,1,1,2,-1.2188078431417892,1,2,True
0,3,0,-1.6666458159095003,1,3,1,2,2,0.3319595289299278,0,4,False
1,1,1,0.5834923904274543,1,4,0,4,1,-0.9641552808975061,0,1,False
1,1,0,0.8067480462170622,1,2,0,4,1,-0.21924760088604422,0,1,True
0,2,4,-0.5048342731446402,0,3,0,1,2,1.6303281127585532,0,2,False
1,3,2,1.6722143390682513,0,3,1,3,1,0.9754325136599942,0,4,True
1,1,2,1.3475205125858578,0,4,0,3,2,-0.6939335092062145,1,4,True
1,4,1,0.27402449006832164,1,4,0,4,1,0.08155990296762286,1,4,True
0,3,3,0.17563164353964428,1,4,0,1,3,0.07441502591734835,1,4,True
1,2,2,0.7144384335367745,1,1,0,4,0,0.15326624841736952,0,1,True
0,4,1,-1.3298864110147204,0,4,0,3,0,1.513578382494547,1,1,False
0,3,2,1.6274392553631705,1,1,1,3,2,0.6067105707693363,0,3,True
0,3,3,-0.046411207924027295,1,2,1,2,2,0.5554759280496485,1,2,True
0,1,0,-0.20083989994835447,0,4,0,1,0,0.4093239594016503,1,2,True
0,3,0,1.3016792121030734,1,4,1,3,0,-0.3067290506602965,1,1,True
0,4,4,-0.9264255780753461,1,4,1,4,4,0.908998037256156,0,4,True
1,3,3,-0.9338879211371578,0,3,0,3,1,0.15872340934406134,1,4,True
1,3,1,2.5503194921096863,1,3,1,2,2,-1.0991495706086116,1,2,True
0,4,3,1.665296760955764,1,2,0,1,1,0.4806457742581418,1,4,True
0,1,3,-1.4287404193957463,0,3,1,2,0,-1.4072022316662685,1,4,False
0,4,4,-0.3733495712692707,0,1,0,4,0,-1.0567347810075634,1,4,True
1,3,2,-1.1273978697654727,1,1,1,3,2,1.0707440224747704,1,2,True
1,1,0,0.11304083778020416,0,4,0,3,3,0.0443836470648718,0,3,False
1,3,3,0.5408854827694469,0,1,1,3,3,0.5775482523499771,1,1,True
1,2,4,1.1126000516064194,0,1,0,4,4,-0.4322309895168769,1,2,False
1,4,0,0.14539840870379914,1,3,1,2,4,1.2618064077391642,0,3,True
1,4,4,0.5147269626134517,0,3,1,4,2,0.5075438468964051,1,3,True
0,4,3,-0.20187970714111056,0,4,0,3,0,0.9013341218030517,1,2,False
1,1,2,0.5808383484789928,0,4,0,3,2,0.6031256669222291,1,2,True
0,3,3,-1.264484156619087,1,2,1,1,1,-0.5264391137667439,0,1,False
0,3,0,0.2940045379799108,0,3,0,1,3,-0.5641346240973694,0,4,False
1,1,1,0.33324667698974936,1,3,0,4,2,-0.7224596521206028,0,3,True
0,3,2,1.944207642304449,1,1,0,1,3,-1.3545473481714452,1,4,True
1,4,3,-2.254283098828251,0,3,0,1,1,-1.1392261380876276,0,3,True
0,2,4,-1.0740831281239973,0,3,0,4,1,-1.4349485628655814,0,4,False
0,1,0,0.23838276276774814,0,4,1,4,3,0.2905630147518007,1,4,True
0,2,2,-0.4067461503217468,0,1,1,2,3,-0.07009336481530001,0,3,True
0,2,1,-0.34385405769718896,1,2,0,3,1,0.8446053487928862,1,2,True
1,4,4,-0.4435893121577573,1,2,0,3,4,0.43952494120004737,1,2,True
1,2,0,0.6872387464066451,1,3,1,3,2,-2.126390353984442,1,2,False
0,1,2,-0.5202246342531318,0,2,1,2,4,-0.5003863097490233,0,3,False
1,1,1,1.9806466797847708,0,1,0,2,2,0.1847124000978827,1,3,False
0,2,3,-0.6384505891250116,1,4,0,2,0,1.2695376924127175,0,3,False
1,1,3,-0.7337275576570733,1,1,0,3,0,0.5781802003246413,0,2,False
1,4,4,0.9252023329080112,0,2,0,1,2,-0.7876936245418728,1,3,False
0,2,2,0.848279634477846,0,1,0,4,0,0.5094122194302885,0,4,False
0,4,4,0.841705042547601,0,1,0,1,4,-0.6386984394777374,1,2,True
1,1,3,0.8653961888634032,1,1,1,4,4,0.04926535167221718,0,1,True
1,4,1,-0.7461057326858799,1,1,1,2,2,-0.1600761939128932,0,2,True
0,4,3,0.2820706504048549,1,3,0,4,3,-0.8135478752518269,0,4,True
1,4,2,-1.8541874380620575,1,3,0,2,3,1.437961528657042,0,4,False
0,4,3,0.9489894661792678,0,2,0,1,2,-0.37601149932274336,1,1,True
0,1,0,-0.38261006128266994,0,2,1,1,0,-0.10185758901878159,1,1,True
1,3,4,-0.6661468328702959,0,2,1,1,2,2.382277383453039,0,4,False
0,2,3,1.0545587726923715,0,1,0,3,0,-1.0202849621873422,1,1,False
1,3,0,0.9895863543048729,0,1,1,1,2,-1.1988090012581498,0,3,False
